Id,Category
0,6
1,4
2,4
3,4
4,9
5,4
6,6
7,4
8,1
9,1
10,1
11,5
12,6
13,6
14,2
15,9
16,0
17,3
18,1
19,9
20,6
21,4
22,7
23,3
24,4
25,4
26,3
27,4
28,1
29,4
30,3
31,5
32,4
33,1
34,3
35,1
36,9
37,6
38,4
39,4
40,9
41,0
42,3
43,2
44,4
45,7
46,1
47,8
48,7
49,9
50,9
51,9
52,1
53,1
54,4
55,4
56,3
57,3
58,4
59,1
60,9
61,1
62,4
63,1
64,4
65,1
66,8
67,4
68,8
69,6
70,4
71,4
72,4
73,6
74,5
75,4
76,2
77,4
78,9
79,8
80,9
81,5
82,3
83,9
84,6
85,1
86,4
87,4
88,1
89,6
90,1
91,6
92,1
93,4
94,2
95,0
96,9
97,4
98,0
99,4
100,3
101,5
102,8
103,7
104,4
105,4
106,6
107,3
108,4
109,1
110,4
111,1
112,4
113,4
114,9
115,5
116,9
117,9
118,1
119,9
120,6
121,4
122,5
123,0
124,4
125,8
126,4
127,5
128,4
129,7
130,7
131,9
132,5
133,9
134,4
135,9
136,1
137,1
138,4
139,1
140,1
141,4
142,6
143,4
144,9
145,3
146,4
147,3
148,6
149,4
150,6
151,7
152,4
153,1
154,1
155,4
156,0
157,1
158,7
159,6
160,5
161,2
162,1
163,4
164,6
165,0
166,4
167,1
168,6
169,4
170,4
171,5
172,4
173,6
174,4
175,8
176,1
177,6
178,8
179,4
180,0
181,9
182,9
183,9
184,4
185,1
186,4
187,5
188,3
189,6
190,5
191,7
192,0
193,9
194,5
195,6
196,4
197,6
198,9
199,7
200,5
201,7
202,8
203,3
204,4
205,3
206,9
207,6
208,4
209,8
210,1
211,0
212,3
213,1
214,4
215,1
216,7
217,5
218,1
219,1
220,9
221,9
222,0
223,8
224,3
225,4
226,1
227,4
228,4
229,2
230,9
231,2
232,6
233,9
234,7
235,7
236,9
237,3
238,8
239,3
240,6
241,1
242,9
243,6
244,9
245,4
246,6
247,0
248,4
249,4
250,6
251,0
252,9
253,1
254,1
255,4
256,3
257,1
258,3
259,4
260,1
261,4
262,7
263,3
264,4
265,6
266,8
267,0
268,4
269,4
270,3
271,6
272,1
273,9
274,5
275,5
276,1
277,4
278,8
279,3
280,6
281,3
282,8
283,3
284,1
285,3
286,6
287,6
288,4
289,6
290,1
291,6
292,6
293,3
294,2
295,6
296,0
297,4
298,5
299,4
300,8
301,4
302,8
303,8
304,8
305,4
306,6
307,4
308,4
309,6
310,4
311,4
312,6
313,6
314,9
315,4
316,4
317,2
318,4
319,1
320,4
321,1
322,4
323,0
324,5
325,1
326,3
327,4
328,3
329,0
330,9
331,4
332,1
333,3
334,8
335,1
336,5
337,5
338,4
339,9
340,4
341,7
342,3
343,1
344,4
345,5
346,8
347,4
348,6
349,2
350,4
351,9
352,0
353,4
354,3
355,1
356,7
357,4
358,5
359,5
360,3
361,6
362,1
363,5
364,8
365,6
366,5
367,5
368,1
369,4
370,2
371,4
372,1
373,3
374,4
375,3
376,7
377,1
378,9
379,3
380,6
381,9
382,9
383,4
384,7
385,6
386,3
387,4
388,4
389,9
390,0
391,1
392,4
393,0
394,4
395,3
396,1
397,5
398,6
399,4
400,8
401,1
402,1
403,1
404,1
405,4
406,4
407,4
408,6
409,8
410,7
411,8
412,4
413,2
414,1
415,4
416,6
417,3
418,7
419,6
420,4
421,7
422,3
423,8
424,3
425,5
426,9
427,4
428,9
429,6
430,9
431,4
432,2
433,6
434,0
435,9
436,5
437,7
438,7
439,9
440,3
441,0
442,4
443,0
444,0
