Id,Category
0,6
1,9
2,5
3,1
4,9
5,4
6,2
7,1
8,5
9,1
10,3
11,5
12,4
13,4
14,4
15,0
16,0
17,5
18,5
19,5
20,6
21,0
22,7
23,3
24,2
25,2
26,3
27,9
28,1
29,2
30,1
31,2
32,2
33,6
34,0
35,3
36,5
37,6
38,8
39,7
40,6
41,0
42,3
43,2
44,3
45,7
46,2
47,2
48,7
49,8
50,0
51,2
52,1
53,7
54,2
55,1
56,3
57,1
58,4
59,1
60,9
61,7
62,8
63,7
64,0
65,1
66,2
67,5
68,8
69,2
70,4
71,9
72,4
73,6
74,5
75,4
76,2
77,4
78,5
79,0
80,1
81,5
82,3
83,5
84,2
85,1
86,2
87,6
88,1
89,6
90,1
91,4
92,7
93,4
94,2
95,0
96,2
97,3
98,0
99,5
100,0
101,5
102,8
103,7
104,1
105,9
106,1
107,3
108,2
109,3
110,4
111,7
112,9
113,3
114,9
115,5
116,5
117,9
118,1
119,9
120,6
121,4
122,7
123,0
124,4
125,8
126,5
127,5
128,2
129,7
130,7
131,0
132,7
133,9
134,4
135,9
136,3
137,2
138,8
139,1
140,1
141,4
142,6
143,5
144,9
145,0
146,2
147,9
148,6
149,6
150,6
151,7
152,3
153,2
154,0
155,5
156,0
157,1
158,1
159,6
160,5
161,2
162,1
163,2
164,6
165,4
166,5
167,2
168,5
169,7
170,2
171,5
172,6
173,6
174,4
175,5
176,1
177,6
178,8
179,4
180,1
181,9
182,8
183,9
184,5
185,1
186,4
187,1
188,3
189,6
190,2
191,7
192,0
193,2
194,5
195,4
196,1
197,1
198,5
199,5
200,5
201,1
202,2
203,0
204,4
205,1
206,1
207,6
208,4
209,2
210,1
211,0
212,0
213,1
214,2
215,5
216,7
217,1
218,8
219,1
220,0
221,5
222,5
223,4
224,1
225,4
226,1
227,2
228,0
229,2
230,9
231,4
232,5
233,9
234,7
235,5
236,9
237,3
238,5
239,3
240,6
241,3
242,0
243,6
244,9
245,4
246,6
247,0
248,2
249,2
250,6
251,9
252,5
253,1
254,3
255,5
256,1
257,2
258,3
259,1
260,1
261,4
262,2
